entidad,record_id,record_type,source_sheet,source_row,project_id,project_name,project_name_raw,project_type,product_label,template_key,process,activity_type,task_id,task_name,task_hours,task_start_date,task_end_date,task_done,task_status,task_priority,task_owner,task_overdue,task_notes,template_task_key,meeting_id,meeting_name,meeting_date,meeting_time,meeting_type,meeting_status,meeting_attendees,meeting_notes,communication_id,communication_date,communication_time,communication_type,communication_result,communication_notes,invoice_id,invoice_name,invoice_amount,invoice_sent_date,invoice_due_date,invoice_status,invoice_notes,user_id,user_name,user_role,config_group,config_key,config_value,config_definition,metric_name,metric_value,raw_row_json,raw_formulas_json,project_template_key,template_relation_type,template_match_status,template_process_key,template_activity_key
proyectos,PRJ0001,project,🗂️Base de datos del proyecto,22,PRJ0001,Academia MISI,Academia MISI,Implementación,Campuspack,implementation_campuspack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Academia MISI"", ""project_name"": ""Academia MISI"", ""project_category"": ""Implementación"", ""project_status"": ""En curso"", ""project_priority"": ""Alto"", ""product_label"": ""Campuspack"", ""project_start_date"": ""2025-01-08"", ""project_due_date"": ""2025-11-21"", ""project_end_date"": ""2025-11-21"", ""project_progress"": 0.98, ""project_done"": false, ""project_owner"": ""Carmen Donoso"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Carmen Donoso"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 74.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},implementation_campuspack,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0002,project,🗂️Base de datos del proyecto,23,PRJ0002,Fundación Incolmotos Yamaha,Fundación Incolmotos Yamaha,Soporte,Campuspack,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Fundación Incolmotos Yamaha"", ""project_name"": ""Fundación Incolmotos Yamaha"", ""project_category"": ""Soporte"", ""project_status"": ""Hecho"", ""project_priority"": ""Alto"", ""product_label"": ""Campuspack"", ""project_start_date"": ""2025-04-21"", ""project_due_date"": ""2025-09-18"", ""project_end_date"": ""2025-09-23"", ""project_progress"": 1.0, ""project_done"": false, ""project_owner"": ""Julian Sanchez "", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Julian Sanchez "", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 47.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0003,project,🗂️Base de datos del proyecto,24,PRJ0003,The English School,The English School,Soporte,Schoolpack,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""The English School"", ""project_name"": ""The English School"", ""project_category"": ""Soporte"", ""project_status"": ""En curso"", ""project_priority"": ""Alto"", ""product_label"": ""Schoolpack"", ""project_start_date"": ""2024-12-03"", ""project_due_date"": ""2025-10-27"", ""project_end_date"": ""2025-10-27"", ""project_progress"": 1.0, ""project_done"": false, ""project_owner"": ""Carmen Donoso"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Carmen Donoso"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 65.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0004,project,🗂️Base de datos del proyecto,25,PRJ0004,Corp.Edu Dr. Amin Ariza,Corp.Edu Dr. Amin Ariza,Implementación,Campuspack,implementation_campuspack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Corp.Edu Dr. Amin Ariza"", ""project_name"": ""Corp.Edu Dr. Amin Ariza"", ""project_category"": ""Implementación"", ""project_status"": ""Hecho"", ""project_priority"": ""Alto"", ""product_label"": ""Campuspack"", ""project_start_date"": ""2024-12-02"", ""project_due_date"": ""2025-11-28"", ""project_end_date"": ""2025-11-28"", ""project_progress"": 0.58, ""project_done"": false, ""project_owner"": ""Julian Sanchez "", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Julian Sanchez "", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 41.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},implementation_campuspack,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0005,project,🗂️Base de datos del proyecto,26,PRJ0005,Pesol Centre,Pesol Centre,Implementación,Language,implementation_language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Pesol Centre"", ""project_name"": ""Pesol Centre"", ""project_category"": ""Implementación"", ""project_status"": ""En curso"", ""project_priority"": ""Alto"", ""product_label"": ""Language"", ""project_start_date"": ""2025-01-08"", ""project_due_date"": ""2025-10-04"", ""project_end_date"": ""2025-10-04"", ""project_progress"": 0.2, ""project_done"": false, ""project_owner"": """", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": """", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 0.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},implementation_language,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0006,project,🗂️Base de datos del proyecto,27,PRJ0006,Liceo Paternina,Liceo Paternina,Soporte,Schoolpack,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Liceo Paternina"", ""project_name"": ""Liceo Paternina"", ""project_category"": ""Soporte"", ""project_status"": ""Hecho"", ""project_priority"": ""Alto"", ""product_label"": ""Schoolpack"", ""project_start_date"": ""2025-01-14"", ""project_due_date"": ""2025-09-18"", ""project_end_date"": ""2025-09-18"", ""project_progress"": 1.0, ""project_done"": false, ""project_owner"": ""Carmen Donoso"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Carmen Donoso"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 18.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0007,project,🗂️Base de datos del proyecto,28,PRJ0007,Seminario de Faca,Seminario de Faca,Soporte,Implementado,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Seminario de Faca"", ""project_name"": ""Seminario de Faca"", ""project_category"": ""Soporte"", ""project_status"": ""En curso"", ""project_priority"": ""Medio"", ""product_label"": ""Implementado"", ""project_start_date"": ""2025-02-21"", ""project_due_date"": ""2025-09-16"", ""project_end_date"": ""2025-09-16"", ""project_progress"": 0.33, ""project_done"": false, ""project_owner"": ""Jhoec Camayo"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Jhoec Camayo"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 10.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0008,project,🗂️Base de datos del proyecto,29,PRJ0008,Corazonistas,Corazonistas,Soporte,Implementado,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Corazonistas"", ""project_name"": ""Corazonistas"", ""project_category"": ""Soporte"", ""project_status"": ""En curso"", ""project_priority"": ""Medio"", ""product_label"": ""Implementado"", ""project_start_date"": """", ""project_due_date"": """", ""project_end_date"": """", ""project_progress"": 0.3, ""project_done"": false, ""project_owner"": ""Karina Porras"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Karina Porras"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 37.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0009,project,🗂️Base de datos del proyecto,30,PRJ0009,Calasanzs,Calasanzs,Soporte,Implementado,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Calasanzs"", ""project_name"": ""Calasanzs"", ""project_category"": ""Soporte"", ""project_status"": ""En curso"", ""project_priority"": ""Medio"", ""product_label"": ""Implementado"", ""project_start_date"": """", ""project_due_date"": """", ""project_end_date"": """", ""project_progress"": 0.98, ""project_done"": false, ""project_owner"": ""Carmen Donoso"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Carmen Donoso"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 4.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
proyectos,PRJ0010,project,🗂️Base de datos del proyecto,31,PRJ0010,Colsubsidio - Respaldo Schoolpack,Colsubsidio - Respaldo Schoolpack,Soporte,Respaldo Schoolpack,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""project_name_raw"": ""Colsubsidio - Respaldo Schoolpack"", ""project_name"": ""Colsubsidio - Respaldo Schoolpack"", ""project_category"": ""Soporte"", ""project_status"": ""En curso"", ""project_priority"": ""Medio"", ""product_label"": ""Respaldo Schoolpack"", ""project_start_date"": ""2024-12-09"", ""project_due_date"": """", ""project_end_date"": """", ""project_progress"": 0.0, ""project_done"": false, ""project_owner"": ""Administrativo"", ""project_collaborators"": """", ""project_estimated_value"": ""$"", ""project_document_links"": """", ""project_status_update"": """", ""raci_responsible"": ""Administrativo"", ""raci_accountable"": """", ""raci_consulted"": """", ""raci_informed"": """", ""task_count"": 3.0, ""overdue_task_count"": 0.0, ""meeting_count"": 0.0, ""call_count"": 0.0, ""email_count"": 0.0, ""communication_count"": 0.0, ""next_meeting_date"": ""N/A"", ""last_meeting_date"": ""N/A"", ""last_meeting_notes"": """", ""last_communication_date"": ""N/A"", ""last_communication_type"": """", ""last_communication_notes"": """"}",{},support,PROJECT_TO_TEMPLATE,DIRECT_PROJECT_TEMPLATE_BINDING,,
